0,SansText,admittedly this is              all my fault.,,,,
0,SansHead,NoEyes,,
0,SansText,i underestimated                your psychopathic            prowess.,,,,
0,CombatZoneResize,133,251,508,391,TLResume,
0,HeartTeleport,320,376,,,,
0,HeartMode,1,,,,,
0,TLPause,,,,,,
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
0.39,BoneV,503,366,220,2,300,0
0,BoneV,128,366,20,220,277,0
0.39,BoneV,503,286,220,2,300,1
0,BoneV,128,286,100,220,277,1
1.66666,EndAttack,,,,,,
